Liparis ambohimangana	0.49			8.96							46.04	48.13						0.03								0.05	6.65			24.51						34.2					8.16		10.7		14.69						13.44					41.07				3.87					26.05	48.51	35.59																20.46																	48.39
Paphiopedilum violascens			3.82				27.59									13.42		2.87		2.99		24.82										37.05	9.23	40.29					19.59			17.87		6.08	6.34		39.17			36.43	6.03																			4.96					9.26							10.8	26.27			25.52			20.07				8.88	21.59	2.78		6.15	27.55	18.09	
Paphiopedilum wilhelminae					45.22	33.12	4.76	47.44						0.01			42.71					25.06		48.27		33.39	3.27	42.02								12.84	14.93	49.03			25.47				34.42				13.46				13.65								9.12			46.9	32.48			42.93	3.67						3.59							16.82	30.57			3.74						29.86		20.6		27.56				
Pedilochilus papuanus																					9.68																																																																															
Pelexia orthosepala																																			7.4																																																																	
Peristylus aristatus																																																																																																				
Brassia lanceana																																																																																																				
Brassia maculata																																																																																																				
Phalaenopsis violacea																												39.61									15.31																																											39.99													32.8						4.58	
Pholidota camelostalix																																																																							2.49																													
Pholidota chinensis																		18.7																																																										45.56																								
Pholidota globosa																																																													16.41																																							
Phragmipedium besseae			41.85		32.14			6.68							1.49		30.21	16.78			19.04				48.36			43.36										25.64			29.99						4.8					28.32	39.44	20.62					22.76							17.0		13.46		44.56	7.45						30.72			14.56			4.05		22.85			33.69			10.36	34.85	22.19	11.43			13.14	6.32	24.8	
Phragmipedium boissierianum																																																																																																				
Phragmipedium caricinum						11.54																										6.72		34.45			39.97											12.95															41.05																																					
Phragmipedium caudatum											13.64								12.88	5.95			27.6				37.59		33.87		17.81						46.52				27.3						8.56									38.97			5.17											10.62			46.43				5.17			15.76			21.32		34.83	8.74					26.34			44.69						
Phragmipedium hirtzii				41.84				30.71	10.42	2.29	16.1	11.72		14.56										30.68		33.51			24.06		4.05			27.12				5.43				4.84			5.96	33.54					6.51			9.84	12.99						6.18	48.6												30.8		39.44	13.73		35.11			8.13	11.3				2.86									25.7			46.37	
Phragmipedium humboldtii				10.74															6.62																																																									12.57																								
Brassia verrucosa																																32.04																																																																				
Phragmipedium klotzschianum	33.83					18.34		10.23				25.14		19.35	4.87		48.69			26.78		43.61					11.9	18.34				13.75	16.9			27.11	14.86		3.82	44.78		43.85	11.04	19.92	42.23			36.37	36.55				26.43				38.99	25.85											25.4		41.33	48.7	12.9								30.8							4.52	49.95		18.1									
Phragmipedium lindenii																																																																																																				
Phragmipedium lindleyanum					25.93								9.82																37.69																																				45.76																												48.43						9.26	
Phragmipedium longifolium																																																																																																				
Phragmipedium pearcei																																																28.93																																																				
Phragmipedium sargentianum				9.95	26.67				18.6														31.28			0.88		2.1	15.96				0.87					46.54	45.19	45.46		32.65			24.07	3.27			0.88					39.4		36.77			5.09		26.43					6.63										20.99		27.66					20.3			3.89			46.76						10.36					
Phragmipedium schlimii		33.67			25.72	4.92	27.63		5.57							7.27	43.28			47.45	9.26	19.45				26.52	34.78						28.94							49.38								25.05	2.6				35.65	2.5															1.83						9.74									21.06	7.05	49.1				18.59			32.59			26.64				7.53
Phragmipedium vittatum																																																																																									33.74											
Phragmipedium warszewiczianum											24.8																				41.14	37.58	49.83												29.25														44.66																			4.52																						
Brassia wageneri																																																																																																				
Phreatia plantaginifolia																																																																																																				
Physoceras boryanum		17.34	13.26											41.57				45.98						33.35		16.27																			32.86			49.77														15.12	31.57			45.95	10.9	44.13	16.64				33.18	40.2		42.26					48.5		25.81							19.84		27.27							5.35	
Pinalia fitzalanii																																																																																																				
Platanthera algeriensis	12.57														36.5																					26.99											35.4																48.34																																					
Platanthera blephariglottis								14.77												24.47																																																																																
Platanthera chapmanii															19.51				32.62																			31.52		41.57																																																						20.2						
Platanthera chorisiana																																																																																																				
Platanthera clavellata					21.6																																																																																										9.07					
Bromheadia finlaysoniana																																																																																																				
Platanthera finetiana																									26.68																																																																											
Platanthera huronensis																																																																																26.9																				
Platanthera hyperborea																							47.62																																																																													
Platanthera integrilabia												29.66																						29.7													37.6																		47.12																																			
Platanthera leucophaea																																																																																																				
Platanthera micrantha									38.91					45.25		44.27							33.01	4.99			41.29						37.02		15.77	20.83		19.37					30.95		7.95		9.94		4.43	4.6	1.09	37.4				7.87																11.36				7.66			9.52	5.2		39.2			10.95	18.04					35.97			38.83			18.43			
Platanthera oreophila																												35.96										15.34																																									7.07									36.99			9.08					8.28				
Platanthera praeclara		30.54				45.19	21.45							9.98																26.48			12.08				16.06		37.75					24.45					9.95						21.27					7.81	27.3	7.07						35.87			29.84	35.82			39.15		29.03					35.31							22.41		37.01		21.83				37.31		2.85	
Platanthera tipuloides																																																																	43.3																																			
Platanthera yadonii																																																																																										1.53										
Platycoryne mediocris																																																																																																				
Platylepis grandiflora																																																																																																				
Broughtonia negrilensis			1.87				21.85			31.89						9.16	43.48	27.88										12.58	45.19		32.15	44.2			31.38					10.55	9.66	13.69	29.92						22.86	49.24								13.59					28.11		48.04	30.17		11.49								46.38	31.05	26.19							25.73		10.27					46.73		22.7	8.65				18.16	40.35
Platystele minimiflora																																																										10.79																																										
Pleione chunii																																											2.22					49.08																				40.32	6.3					46.98																										
Pleione formosana										26.52																			41.6												43.15																												26.47											28.5																				
Pleione forrestii		7.14						24.24					26.18		13.78																44.11					38.4	9.37					9.34						46.6			16.27									30.56									22.66											7.8							7.76				14.48				1.91					
Bryobium eriaeoides																							22.62																																																																													
Bulbophyllum aggregatum	45.42	45.0			42.43																					33.83																					5.83							15.69																			9.47											42.36								48.63								
Pleurothallis rowleei																																																																																																				
Bulbophyllum alveatum																													23.45		43.6						38.58																									47.66										42.14								44.84																				
Plocoglottis borneensis																																																																																																				
Plocoglottis copelandii																																																																																																				
Podochilus khasianus																																																																																																				
Pogonia ophioglossoides																																39.28																																													28.4																					38.18		
